Latitude        Longitude          County
39.2668         -84.6283        Hamilton       
39.2727         -87.1082        Clay           
39.2800         -82.4753        Vinton         
39.2836         -90.5329        Greene         
39.2885         -89.8661        Macoupin       
39.3459         -84.8924        Franklin       
39.3715         -84.2108        Warren         
39.3762         -90.2933        Greene         
39.3900         -87.3000        Vigo           
39.3958         -88.2530        Coles          
39.3987         -81.6649        Washington     
39.4202         -90.7692        Pike           
39.4281         -81.4644        Washington     
39.4413         -84.3652        Butler         
39.4414         -82.8488        Ross           
39.4760         -89.9794        Macoupin       
39.4766         -82.3281        Hocking        
39.4845         -82.0805        Athens         
39.5000         -86.1797        Johnson        
39.5159         -81.6559        Washington     
39.5269         -87.0869        Clay           
39.5285         -84.0815        Warren         
39.5464         -86.9500        Putnam         
39.5554         -84.6219        Butler         
39.5742         -86.8653        Putnam         
39.6083         -84.0260        Greene         
39.6488         -85.5828        Rush           
39.6673         -80.8720        Monroe         
39.6675         -85.6934        Shelby         
39.6682         -86.4959        Hendricks      
39.7119         -88.7975        Moultrie       
39.7290         -85.3331        Rush           
39.7390         -84.0856        Montgomery     
39.7406         -86.1569        Marion         
39.7423         -83.5970        Madison        
39.7495         -89.6060        Sangamon       
39.7505         -84.2686        Montgomery     
39.7509         -86.1924        Marion         
39.7612         -90.8832        Pike           
39.7622         -89.6275        Sangamon       
39.7624         -89.0507        Macon          
39.7628         -86.5343        Hendricks      
39.7687         -83.2057        Pickaway       
39.7778         -89.4064        Sangamon       
39.7795         -86.1328        Marion         
39.7848         -88.0001        Douglas        
39.7862         -84.1622        Montgomery     
39.7970         -83.8256        Greene         
39.8013         -82.8125        Fairfield      
39.8071         -90.6630        Pike           
39.8271         -85.4450        Henry          
39.8331         -89.8686        Sangamon       
39.8466         -86.3869        Hendricks      
39.8499         -89.2513        Sangamon       
39.8520         -81.6576        Guernsey       
39.8534         -84.5369        Preble         
39.8581         -82.8872        Franklin       
39.8617         -84.7793        Preble         
39.8814         -83.0839        Franklin       
39.8957         -85.6144        Hancock        
39.9040         -85.5205        Henry          
39.9181         -82.8321        Franklin       
39.9648         -83.1260        Franklin       
39.9690         -83.0114        Franklin       
39.9853         -81.1375        Belmont        
39.9945         -81.5006        Guernsey       
40.0060         -85.4434        Henry          
40.0132         -89.4520        Logan          
40.0204         -80.7638        Belmont        
40.0373         -87.8365        Vermilion      
40.0449         -86.4641        Boone          
40.0519         -84.9300        Randolph       
40.0800         -80.8003        Belmont        
40.1131         -88.3613        Champaign      
40.1224         -80.8149        Belmont        
40.1964         -88.3928        Champaign      
40.2024         -84.8268        Randolph       
40.2126         -80.8815        Jefferson      
40.2180         -85.3790        Delaware       
40.2207         -87.7987        Vermilion      
40.2279         -89.8903        Mason          
40.2625         -83.7528        Logan          
40.2811         -87.2241        Fountain       
40.2876         -83.9744        Logan          
40.2884         -86.2297        Tipton         
40.2947         -81.1839        Harrison       
40.2991         -88.3560        Champaign      
40.3283         -84.4836        Darke          
40.3406         -84.4963        Darke          
40.3407         -82.1559        Coshocton      
40.3572         -81.6436        Coshocton      
40.3605         -83.7571        Logan          
40.3613         -89.3231        Tazewell       
40.3761         -86.7740        Tippecanoe     
40.4062         -84.5076        Mercer         
40.4249         -86.9162        Tippecanoe     
40.4659         -84.1780        Shelby         
40.4659         -88.3609        Ford           
40.4696         -86.1189        Howard         
40.4705         -88.9433        McLean         
40.4879         -85.6055        Grant          
40.5092         -80.6241        Jefferson      
40.5103         -88.9980        McLean         
40.5359         -85.6616        Grant          
40.5445         -86.5016        Carroll        
40.5457         -74.1792        Richmond       
40.5686         -86.3467        Cass           
40.5923         -73.7933        Queens         
40.6142         -81.4223        Tuscarawas     
40.6306         -74.1379        Richmond       
40.6514         -73.8708        Queens         
40.6731         -89.5514        Tazewell       
40.6752         -84.1244        Auglaize       
40.6763         -73.7966        Queens         
40.6777         -84.5152        Mercer         
40.6869         -73.8501        Queens         
40.6947         -86.1951        Cass           
40.7049         -73.6176        Nassau         
40.7105         -74.0163        New York       
40.7135         -73.3546        Suffolk        
40.7143         -74.0060        New York       
40.7152         -89.2706        Woodford       
40.7278         -73.8602        Queens         
40.7297         -73.1607        Suffolk        
40.7361         -86.3734        Cass           
40.7368         -85.1622        Wells          
40.7442         -89.7184        Peoria         
40.7446         -88.7219        McLean         
40.7496         -73.9919        New York       
40.7516         -87.0290        White          
40.7517         -73.9752        New York       
40.7598         -81.3500        Stark          
40.7626         -86.7550        White          
40.7627         -82.5593        Richland       
40.7651         -73.9858        New York       
40.7680         -81.4119        Stark          
40.7684         -73.5251        Nassau         
40.7808         -73.9772        New York       
40.7851         -73.8096        Queens         
40.7878         -90.0265        Knox           
40.7993         -73.7343        Nassau         
40.8086         -72.7064        Suffolk        
40.8304         -84.0852        Allen          
40.8320         -85.0054        Adams          
40.8331         -85.3190        Huntington     
40.8336         -84.3247        Allen          
40.8382         -73.9420        New York       
40.8638         -90.7457        Warren         
40.8702         -73.8495        Bronx          
40.8765         -90.1747        Knox           
40.8825         -86.7453        White          
40.8857         -73.5526        Nassau         
40.8861         -73.2438        Suffolk        
40.9043         -72.4103        Suffolk        
40.9365         -72.5773        Suffolk        
40.9672         -87.6217        Iroquois       
40.9863         -90.5491        Warren         
40.9943         -72.5363        Suffolk        
41.0087         -86.4061        Fulton         
41.0109         -81.2977        Portage        
41.0197         -81.6212        Summit         
41.0329         -84.6139        Paulding       
41.0464         -88.0858        Kankakee       
41.0480         -85.1135        Allen          
41.0521         -90.5436        Mercer         
