Latitude        Longitude             Zip 
40.8304         -84.0852             45820
41.3323         -81.1464             44234
39.0388         -83.7505             45155
39.1668         -84.5382             45268
39.4766         -82.3281             43127
38.9621         -83.5936             45679
39.1991         -84.5251             45224
39.7862         -84.1622             45404
40.4062         -84.5076             45860
39.9181         -82.8321             43109
38.8237         -83.6995             45115
39.1432         -84.5217             45220
39.5159         -81.6559             45786
41.0760         -81.5206             44328
39.8814         -83.0839             43123
41.4701         -81.6490             44127
39.1110         -84.6594             45233
41.1887         -84.7448             45813
39.1668         -84.5382             45258
39.8617         -84.7793             45347
40.3283         -84.4836             45388
41.2941         -81.2283             44255
40.5092         -80.6241             43926
41.0329         -84.6139             45851
39.1075         -84.5257             45203
40.2625         -83.7528             43357
40.0800         -80.8003             43934
41.3508         -80.9672             44491
39.3715         -84.2108             45065
39.4845         -82.0805             45782
39.4414         -82.8488             45644
39.2208         -84.6418             45247
41.1030         -82.5998             44855
40.1224         -80.8149             43916
40.3605         -83.7571             43311
40.2947         -81.1839             44693
41.4748         -84.5629             43506
38.8017         -83.5333             45693
39.5285         -84.0815             45068
41.4385         -81.7398             44144
41.0109         -81.2977             44265
41.1624         -80.5762             44425
39.7423         -83.5970             43153
39.8581         -82.8872             43125
31.1509         -99.3372             76825
31.6410         -98.5276             76870
33.4070         -97.4716             76246
30.1716         -95.4985             77381
32.7673         -96.7776             75266
29.3475         -96.1933             77443
31.6948         -106.3000            88566
32.7714         -97.2915             76101
28.4805         -98.3503             78007
33.6066         -96.3502             75479
35.4319         -100.2568            79096
31.6725         -97.1138             76640
29.5255         -95.7565             77496
29.7239         -97.7449             78661
31.8766         -95.7327             75853
28.4756         -98.1782             78071
31.4467         -103.5791            79772
28.4101         -96.7023             77983
29.8340         -95.4342             77222
31.7215         -99.3212             76878
29.5407         -98.5521             78230
31.7918         -97.5203             76634
32.2452         -94.4555             75631
32.3201         -102.5409            79714
30.0167         -95.4470             77090
29.8340         -95.4342             77259
31.8265         -106.3857            79908
29.4059         -98.5078             78204
28.4398         -99.2328             78014
29.8235         -95.1848             77049
27.5155         -99.4986             78040
35.4015         -101.8951            79105
33.4183         -99.8137             79529
33.1301         -100.2344            79502
31.0723         -97.4720             76513
35.1663         -101.8868            79109
29.7633         -95.3633             77209
28.2639         -99.2802             78001
29.4353         -98.1952             78152
30.0702         -96.9020             78960
33.6280         -100.8197            79229
31.6948         -106.3000            88556
33.1903         -97.1282             76205
31.7587         -106.4869            79960
30.8800         -97.3857             76534
28.8675         -96.9990             77904
